EmployeeID,Department,SystemUsageHours,ProductivityScore
5765,IT,43.51,3
3007,Legal,1.57,7.9
5209,Marketing,33.42,8.37
2968,Engineering,16.65,1.62
5028,Marketing,9.21,9.7
2805,Sales,24.52,1.09
5045,Finance,45.65,1.16
3120,Legal,13.67,9.53
3067,HR,8.67,9.97
1454,Marketing,38.42,2.11
5162,HR,42.43,1.86
4843,Sales,11.81,3.69
4222,Finance,28.04,3.46
1269,Sales,27.66,4.07
2476,IT,7.18,5.01
5465,Legal,12.83,1.04
4618,IT,33.61,8.47
3003,Marketing,30.21,3.94
3507,Marketing,29.93,5.38
5154,Marketing,46.72,1.76
2316,IT,43.34,1.11
3071,IT,11.66,5.66
5766,HR,16.12,3.93
1049,Operations,8.13,6.7
5147,Legal,13.89,9.32
3602,Sales,47.12,1.29
2428,Marketing,43.12,9.34
1940,Sales,28.11,5.97
2288,Engineering,5.07,5.01
2804,Engineering,17.93,8.62
2461,Sales,1.22,7.13
2112,Finance,2.64,9.39
1325,Marketing,2.02,3.15
3899,IT,21.29,4.75
4713,Engineering,39.31,7.29
2742,Sales,7.94,1.78
5218,IT,6.57,4.93
2368,Marketing,3.72,9.41
1106,Finance,29.61,7.57
3673,HR,36.22,8.1
5399,IT,22.24,8.16
4994,IT,48.61,9.6
3724,Engineering,44.53,9.21
2239,Operations,26.73,2.24
2130,Legal,16.22,4.6
4003,IT,40,9.84
3608,Legal,37.41,7.67
4840,IT,44.06,7.63
3629,Operations,46.49,6.27
2022,Operations,10.12,7.61
2981,Operations,1.53,6.99
2991,Legal,22.76,6.7
1666,Finance,30.82,8.73
4922,Legal,21.81,8.32
1678,Operations,12.46,5.47
3938,Sales,17.39,4.75
2680,Legal,42.04,2.1
1745,Legal,11.81,2.51
4472,Finance,15.76,1.4
3323,IT,9.84,8.29
2398,Finance,3.06,1.81
3764,Operations,36.99,8.25
1238,HR,30.93,9.36
1859,Legal,17.34,2.14
3159,Finance,11.06,4.79
3758,Engineering,47.54,7.16
3784,HR,36.14,1.78
1849,Marketing,10.03,1.87
2691,Legal,25.97,8.09
2476,Finance,10.62,6.96
5221,HR,14.54,7.72
5818,Engineering,41.11,4.04
3898,Legal,18.2,3.74
3388,Legal,43.92,9.65
2690,Legal,45.31,8.48
4890,Sales,32.66,1.59
1792,Finance,7.34,9.59
3232,Finance,24.6,9.29
5882,IT,22.81,4.86
1217,Marketing,28.72,7.44
4926,Engineering,26.59,4.73
4774,HR,23.7,1.61
2965,Engineering,22.03,9.54
2617,Engineering,43.51,1.02
3458,Finance,26.07,5.84
1078,Legal,46.1,1.55
3510,Sales,10.06,1.37
4237,IT,36.36,7.78
3583,IT,6.53,2.1
3197,Marketing,47.05,1.28
5531,Marketing,49.13,3.88
5762,Sales,5.28,6.21
1042,Legal,23.56,3.54
3406,Sales,40.54,2.44
5540,Engineering,25.93,3.93
4983,Sales,47.3,1.91
1817,Operations,44.61,7.23
4386,Legal,40.32,1.53
4040,Finance,11.89,6.02
4849,Legal,37.57,3.05
1050,Finance,31.65,5.46
1370,IT,12.38,3.62
4023,HR,11.82,3.91
5381,HR,44.61,5.93
4626,IT,11.48,9.12
4327,Finance,37.2,3.71
4526,Engineering,18.85,8.31
4159,IT,1.79,2.22
2801,Operations,16.87,7.4
1163,Sales,12.83,9.69
3104,Finance,27.94,4.88
5492,IT,49.02,3.46
5064,Legal,33,5.13
3644,IT,28.87,8.94
1391,Legal,44.18,5.99
4387,Operations,19.95,6.71
2710,IT,20.98,1.85
2319,Engineering,24.32,5.11
4789,HR,25.44,1.49
1622,Operations,7.62,8.93
5609,Legal,24.17,6.51
2206,Engineering,0.76,4.63
4721,Marketing,40.84,1.32
4622,Legal,48.53,3.25
4032,Legal,38.42,4.38
3000,Finance,26.87,6.93
3113,Operations,44.3,4.16
4730,HR,49.11,9.51
5813,Finance,26.66,8.59
4133,Legal,2.07,8.39
5496,Marketing,0.76,3.96
3551,Legal,21.34,9.31
1617,Finance,13.03,7.56
1926,Sales,44.52,2.84
5604,Legal,16.88,1.48
3323,IT,24.46,8.31
1127,HR,24.88,7.33
4528,Engineering,30.67,6.88
2781,HR,15.91,5.48
3260,Legal,35.63,8.22
1786,Marketing,29.57,6.68
3021,Legal,45.56,6.87
4275,Finance,29.01,3.18
4908,Finance,24.28,2.98
2307,Operations,8.92,1.73
5265,Marketing,34.64,6.92
4917,IT,38.49,4.43
3431,Marketing,2.35,3.31
5961,Marketing,4.42,2.99
3044,HR,44.94,4.57
2525,Operations,47.27,1.66
2963,IT,22.36,5.36
1726,HR,3.43,6.28
2004,Legal,38.96,4.73
2208,Legal,0.66,8.64
4219,Marketing,44.11,7.25
5796,HR,24.58,8.05
2781,Sales,11.52,7.75
5722,Marketing,27.45,1.84
2832,HR,23.19,4.26
5735,IT,46.12,1.86
3951,Legal,31.14,5.1
3835,Marketing,33.56,5.64
2168,HR,46.37,3.47
4543,Operations,17.6,2.82
1994,Finance,4.64,8.75
2399,Marketing,20.58,6.41
2293,IT,42.47,3.59
2704,Operations,36.42,5.93
5413,IT,6.45,8.73
1507,Finance,41.11,1.18
1106,Legal,43.32,4.38
4544,Marketing,17.77,5.67
4875,Finance,45.82,9.63
5601,Operations,41.17,6.9
5423,Sales,31.93,1.15
2760,IT,8.82,8.13
4255,Legal,23.21,6.6
3836,Engineering,40.82,1.11
3963,Sales,36.02,8.66
1971,Operations,20.17,3.72
2649,Engineering,45.98,8.51
3679,Operations,44.4,9.21
5583,Legal,23.06,7.9
4089,Finance,24.27,8.45
3893,Engineering,44.05,6.75
2183,Marketing,37.03,3.82
1294,HR,29.61,6.79
3866,HR,18.1,9.02
5573,Legal,17.34,8.36
3640,Engineering,46.33,2.09
1586,Finance,15.77,3.15
2801,Marketing,22.44,6.49
4861,Operations,32.25,6.93
1921,Engineering,48.12,6.72
2466,HR,11.44,5.27
3398,IT,4.4,6.04
3775,Marketing,8.05,5.81
1606,HR,47.06,7.12
1291,Sales,17.72,7.55
5145,Legal,19.63,6.74
3039,Finance,3.24,1.12
4426,Legal,19.12,9.47
5123,HR,44.45,4.73
5831,HR,0.03,2.49
2395,Operations,9.15,7.17
3420,IT,25.89,4.05
4242,Finance,29.62,7.54
2155,Sales,29.11,6.88
2024,Operations,45.77,6.23
2571,Operations,19.19,5.84
3143,Legal,5,5.83
1295,Marketing,22.13,6.96
4425,Finance,17.95,5.08
2508,Operations,47.4,5.7
4466,Finance,31.66,9.51
2894,IT,21.23,2.73
1883,Finance,8.07,2.28
5896,Operations,10.12,3.14
3143,Legal,41.02,3.9
3860,Marketing,28.88,4.42
5308,Operations,6.57,4.68
2505,HR,12.96,6.98
2071,IT,33.55,1.17
3171,Legal,25.03,7.75
4892,IT,19.02,6.95
1969,Marketing,39.65,9.94
1705,IT,24.09,8.44
2507,IT,46.55,4.25
2758,IT,47.19,7.96
3136,Operations,42.96,5.93
1585,Finance,35.4,5.98
2437,Marketing,11.14,7.72
3574,Marketing,14.47,6.66
3167,Operations,32.59,8.61
4017,Sales,16.54,9.28
1539,HR,30.66,8.89
1675,Legal,40.87,7.83
5124,Legal,44.31,3.85
5784,HR,2.62,5.75
5405,Engineering,32.77,9.68
3343,Legal,42.4,3.03
2256,Marketing,1.83,3.12
4444,Engineering,23.24,1.19
5621,HR,27.16,8.99
5308,Legal,15.42,5.61
3050,HR,24.67,5.63
3738,Engineering,2.06,6.41
5061,Sales,7.91,1.17
4619,IT,46.01,4.1
1930,IT,14.85,3.71
1074,Operations,3.96,5.01
5032,HR,34.05,1
3685,Marketing,48.16,7.29
1670,Finance,19.21,7.39
2443,HR,49.4,4.26
4221,Finance,23.58,8.24
2666,Marketing,9.67,6.48
1888,Engineering,23.27,3.68
4809,Sales,10.57,3.32
5022,Legal,10.48,4.28
4005,Operations,35.82,1.25
1982,Legal,49.66,2.93
1720,Finance,17.97,3.85
1374,HR,31.2,8.14
4081,IT,8.04,5.73
3436,HR,14.25,2.62
5096,IT,19.8,3.49
2778,IT,40.75,9.92
3774,IT,31.95,8.54
5274,Legal,2.36,3.35
3603,IT,9.23,6.54
1349,IT,10.95,9.85
4843,Marketing,13.73,4.04
3799,Finance,5.49,8.82
1156,Engineering,8.45,2.92
5769,IT,40.38,9.71
1185,Marketing,9.09,5.06
2707,HR,2.93,7.3
5718,Marketing,31.08,8.97
2150,Operations,45.66,2.61
5290,Sales,38.36,6.61
3918,Sales,12.55,7.34
1151,Sales,45.85,7.35
4384,IT,32.69,1.78
5349,Operations,35.62,4.36
3105,Operations,47.79,6.67
5969,Operations,9.05,6.09
2246,Finance,22.72,1.47
4071,Finance,9.17,5.48
5973,IT,14.09,1.28
2020,Operations,11.63,4.33
2076,IT,31.27,7.74
3612,Legal,28.34,6.04
1907,Marketing,6.82,2.96
1888,Legal,3.08,9.53
4332,HR,6.09,1.22
1920,HR,8.13,1.18
4152,Marketing,6.12,2.53
3431,Engineering,1.25,3.19
2940,Marketing,19.56,3.56
1446,Sales,6.2,8.22
3876,IT,5.58,3.26
5985,Legal,40.62,6.13
3718,HR,7.87,9.09
3964,Marketing,22.82,4.2
3311,HR,16.93,2.31
4721,HR,35.28,4.04
2442,Legal,12,7.99
5398,Legal,26.99,6.32
1266,Sales,39.06,5.24
3384,Finance,9.86,3.54
1943,Engineering,30.67,5.6
1572,IT,22.62,1.43
4569,Engineering,40.35,7.42
2109,Legal,7.06,8
3785,Operations,2.4,5.35
3892,Sales,15.49,1.73
4485,IT,41.26,8.73
3256,Engineering,21.51,1.53
2538,IT,9.3,9.41
4167,Marketing,41.04,4.52
2302,Sales,27.53,9.11
3701,IT,0.71,9.13
2212,Operations,1.67,7.16
2086,Operations,7.7,4
3680,Operations,19.13,7.77
2955,HR,5.94,3.01
2189,Sales,33.63,4.71
2431,IT,20.88,5.7
3814,Engineering,36.85,1.71
2453,HR,7.29,8.03
3038,HR,38.96,5.04
1116,IT,7.01,5.34
5895,Legal,41.39,3.75
4031,Finance,8.25,4.1
1081,Legal,21.47,5.77
2088,Legal,23.71,7.4
1668,Sales,0.71,6.31
5163,Finance,37.43,3.09
4352,Operations,31.97,1.8
4001,Finance,13.02,8.47
4827,Legal,10.65,8.27
5103,Legal,7.42,3.37
2829,Operations,31.46,7
5797,HR,28.05,2.06
2383,Marketing,13.43,9.19
3816,Marketing,23.28,9.45
4713,Marketing,14.54,4.72
5444,Finance,9.53,3.24
5483,HR,38.95,1.66
4587,Operations,2.75,9.58
4334,Finance,27.02,2.3
3857,Legal,43.65,4.43
2987,Finance,2.41,2.39
1094,Operations,47.31,1.72
5576,Finance,13.22,2.21
4819,HR,47.25,8.77
2631,Legal,8.87,4
2186,HR,21.13,3.07
4919,Engineering,10.31,4.59
3238,Operations,16.33,6.08
1017,Sales,14.43,9
2277,Sales,14.55,4.33
3049,HR,26.06,8.45
4240,IT,37.56,1.22
4826,Engineering,7.4,6.69
4063,Sales,21.12,6.84
4699,Sales,38.14,1.48
5223,HR,0.04,4.2
5375,IT,8.81,3.92
1670,Sales,12.69,4.62
4944,HR,29.28,7.8
3346,Marketing,30.41,3.19
3634,HR,36.91,3.53
2379,Finance,40.53,6.15
4508,Operations,23.93,8.14
2601,Engineering,29.46,3.99
5733,HR,22.04,9.04
2469,Legal,12.2,3.18
3380,Operations,2.84,4.49
3447,Legal,36.65,3.41
2993,Engineering,30.42,1.47
1067,Marketing,7.01,5.18
2264,Engineering,44.2,9.91
5289,Operations,14.04,9.35
3536,Engineering,16.87,9.02
1217,IT,44.31,7.09
4569,Legal,10.3,7.36
3134,IT,14.45,5.56
1489,Operations,7.56,7.42
4820,Operations,38.92,9.56
3309,IT,29.11,7.51
5013,Sales,40.47,7.49
2292,Marketing,22.22,9.89
4374,Engineering,14.73,3.29
1209,Finance,15.97,6.72
5646,Engineering,38.01,3.15
2548,Sales,31.22,9.78
3102,HR,15.65,3.95
2987,HR,15.33,7.15
1329,Finance,7.34,1.89
4783,Legal,40.43,4.04
2391,Finance,33.15,5.74
1353,Legal,27.64,2.51
2785,Operations,34.18,2.78
2761,IT,22.63,2.78
3496,Marketing,33.06,1.86
1246,Marketing,46.46,3.85
2833,Engineering,3.82,8.2
1820,Finance,0.64,7.52
2010,Engineering,10.68,9.45
4623,Engineering,49.04,7.38
3721,IT,11.39,6.21
2945,HR,4.66,9.59
1539,Marketing,27.36,5.89
1880,Sales,30.59,9.35
2215,Marketing,26.93,9.82
1429,Finance,23,7.65
5814,Operations,7.13,4.07
5942,IT,34.41,1.35
3893,Finance,34.22,1.64
4758,IT,24.14,7.52
3648,Legal,26.29,7.93
1139,HR,7.85,6.78
1341,Finance,11.43,8.6
2128,Engineering,4.42,3.43
5862,Marketing,46.34,8
2605,Engineering,7.82,2.05
4552,Engineering,36.77,9.26
4312,Finance,32.11,3.04
2242,Operations,49.9,8.22
3381,Engineering,28.55,7.88
5090,Operations,44.63,9.61
1112,Legal,15.97,7.1
2317,Finance,11.43,7.94
2712,Sales,45.43,9.91
3506,Legal,42.87,2.63
4701,Operations,24.53,4.59
4137,Marketing,39.2,8.22
5215,HR,29.66,7.74
4477,Marketing,32.51,9.7
4791,Legal,9.46,6.71
3815,Finance,0.5,9.19
4273,IT,17.52,6.12
2604,Engineering,20.78,8.72
4048,Finance,30.8,3.88
1104,Marketing,20.89,6.41
1923,Marketing,36.4,1.02
3401,Legal,1.38,6.07
2127,Engineering,38.89,2.62
4644,HR,22.51,1.39
5670,Sales,37.07,8.98
5273,Operations,14.72,1.56
1009,Legal,21.76,5.03
2718,Engineering,34.87,1.53
1072,Finance,22.12,7.05
3535,Marketing,19.3,1.37
5279,Finance,38.34,2.89
3259,Sales,25.79,6.23
4486,Sales,32.36,9.81
4447,Operations,5.1,7.34
2783,Operations,43.25,2.51
1781,Operations,47.01,7.31
3571,IT,35.08,9.9
1815,Operations,11.78,1.49
2604,Legal,11.42,1.69
4066,HR,49.78,2.29
2468,Operations,17.26,5.54
1230,Marketing,45.39,7.62
3335,Finance,47.03,5.45
2218,Finance,23.93,9.54
3625,Operations,32.15,6.09
1869,HR,39.88,7.38
3574,Engineering,27.11,8.66
1164,Operations,48.18,9.93
1918,HR,24.2,1.58
1943,HR,32.53,5.24
1568,Legal,9.12,1.57
4040,Engineering,6.04,8.9
1642,Finance,45,5.91
2389,Finance,3.12,1.79
5311,Finance,0.65,1.12
4836,Sales,15.06,2.86
5761,Marketing,3.6,8.11
3210,HR,2.6,9.63
2434,Finance,5.81,7.66
4309,HR,21.76,6.22
5417,Marketing,41.8,4.1
5201,Marketing,4.28,6.9
4329,IT,48,6.2
4386,Engineering,39.02,7.02
2289,Sales,47.37,6.52
5395,Marketing,21.44,4.45
1291,Operations,21.1,5.28
2874,Engineering,40.15,1.92
4854,Operations,22.82,2.79
4504,Operations,43.42,6.17
5030,Operations,7.61,6.39
3799,IT,49.1,9.69
3601,IT,8.05,8.77
2984,Finance,12.79,6.01
5545,Legal,43.7,9.02
2141,Engineering,17.94,4.99
3961,Operations,5.84,2.69
2744,Operations,48.69,2.7
4259,HR,17.54,4.1
1315,Engineering,9.64,2.69
5527,Finance,35.57,5.21
5119,Operations,23.5,3.92
2348,Engineering,20.73,6.14
1817,Engineering,10.41,1.84
5082,Marketing,47.08,2.63
3321,Engineering,22.57,3.11
4325,HR,44.94,5.13
1966,Operations,28.22,8.07
3356,IT,20.32,3.13
1554,Marketing,29.79,8.24
5538,Legal,17.38,1.01
4486,Finance,7.24,2.46
5382,Operations,33.67,6.66
4145,Operations,30.55,1.69
4370,Finance,26.38,4.82
2160,IT,48.7,3.61
2737,Sales,8.52,1.5
4695,Sales,21.44,1.29
1377,Finance,16.47,8.29
2809,Sales,32.49,9.05
4199,Legal,29.05,7.94
3782,IT,43.34,4.61
2498,Legal,38.37,5.8
4133,Legal,43.51,8.98
4564,Finance,29.85,7.49
4059,IT,26.56,7.59
4297,Legal,31.37,5.73
5300,Legal,20.13,7.49
5604,Sales,49.11,9.29
2295,Engineering,48.69,4.7
4401,Marketing,38.72,2.73
1259,Sales,13,5
5940,Sales,32.56,4.17
2610,HR,36.4,5.95
2181,Marketing,15.69,4.23
2134,IT,28.22,4.56
1668,Finance,2.49,8.12
4031,Sales,34.43,5.71
5129,Marketing,19.89,2.63
5702,Legal,34.08,2.69
5236,Legal,44.91,8.46
5001,Sales,38.14,9.73
3373,HR,35.42,7.81
1038,Finance,37.57,1.2
5511,HR,27.49,3.41
3987,Finance,23.75,7.49
3119,Sales,22.63,4.46
5408,HR,46.36,9.48
3030,Operations,17.76,7.75
1071,Finance,36.11,1.81
5858,IT,18.16,7.09
1761,Operations,43.9,3.87
1562,IT,37.7,2.35
3375,Engineering,20.25,3.2
1585,Operations,49.48,1.25
5084,Operations,13.06,8.39
3386,Legal,1.03,9.34
1114,Marketing,20.96,4.72
3502,Operations,22.93,3.97
1585,Legal,3.85,2.8
2700,IT,24.1,8.8
2535,Engineering,28.2,9.28
4499,Engineering,20.07,3.83
5743,HR,22.27,4
1109,Operations,16.27,2.43
1258,HR,33.36,5.2
1976,Finance,7.33,7.77
3557,IT,9.42,8.08
3949,Legal,32.64,6.36
2398,Finance,24.17,5.65
3558,IT,47.56,9.53
2455,Finance,28.63,6.1
2099,HR,23.6,3.35
5527,Legal,21.34,4.39
2712,Marketing,28.09,4.15
1212,Operations,3.96,9.86
4843,Legal,38.52,3.25
5136,Engineering,44.73,6.94
3144,Finance,25.63,5.19
3444,Operations,49.43,9.49
1489,Legal,3.9,2.03
4733,Operations,31.3,7.83
3286,Marketing,41.69,5.82
2140,Sales,18.05,7.6
1692,Marketing,27.4,2.12
2564,Engineering,3.43,3.31
2203,HR,39.6,1.37
5576,Marketing,28.95,3.47
2122,Engineering,8.4,8.25
1506,Engineering,13.86,4.16
5173,Operations,0.65,7.23
5465,Sales,17.16,6.92
4710,Finance,9.89,5.65
4289,HR,32.05,2.29
2987,Finance,21.55,5.08
3633,Sales,16.24,7.09
5839,Marketing,27.18,4.39
2733,Engineering,20.35,2.66
2939,Marketing,31.59,3.14
3706,IT,43.76,3.77
3060,Engineering,21.98,3.52
5936,Operations,32.38,9.95
1988,Marketing,40.35,3.28
4798,Legal,36.73,1.72
1379,Operations,22.78,3.49
5595,Operations,9.71,1.01
4068,Finance,20.4,2.5
4461,Marketing,49.22,6.3
3678,Finance,41.41,9.8
4036,IT,44.3,6.24
2695,HR,21.51,4.1
1482,Engineering,21.25,4.69
4211,Legal,24.76,6.31
5444,Finance,17.69,4.18
1612,Sales,25.33,4.75
5235,IT,17.9,7.16
4796,Engineering,35.99,2.58
1851,HR,8.61,6.12
3451,Finance,3.18,4.8
4041,Sales,32.16,1.55
5976,HR,5.98,8.74
3096,Operations,6.83,3.85
1445,Sales,45.6,4.27
2377,Marketing,6.57,1.63
2794,Finance,47,3.07
1600,Marketing,31.98,6.03
5397,Sales,29.16,5.53
3584,IT,41.2,2.01
1853,HR,48.7,3.53
5364,Engineering,17.46,6.07
2400,Legal,43.41,2.33
3659,IT,30.82,9.32
4173,Finance,7.36,4.39
4877,Operations,4.91,6.14
2354,HR,1.92,5.94
3937,Sales,28.86,9.41
1008,Legal,13.71,4.1
2469,HR,38.17,2.73
2000,Marketing,26.31,4.49
3175,Marketing,4.74,9.29
2877,Legal,43.95,5.09
1954,Marketing,43.95,5.98
3236,Engineering,35.34,9.18
5307,Sales,15.35,6.63
1941,Engineering,24.61,8.2
1774,Sales,31.26,4.99
5891,Marketing,38.22,3.44
3785,Sales,30.59,4.31
2557,Operations,0.03,8.6
1661,Marketing,21.88,7.65
2567,Operations,47.74,6.18
4380,IT,28.98,4.97
4586,Finance,2.26,2.79
4254,Sales,32.28,4.32
2277,Legal,40.5,8.28
2446,Legal,48.24,1.26
4344,IT,39.88,9.45
4390,Legal,39.88,5.39
2408,Finance,9.84,1.68
3001,IT,30.83,6.74
2637,HR,35.32,8.94
5251,Marketing,11.19,1.2
3951,HR,6.99,3.01
4015,HR,14.43,6.17
2410,Operations,7.86,6.12
4981,IT,33.39,2.23
5766,HR,21.03,8.23
4330,Operations,4.11,2.86
5460,Legal,3.72,4.65
2374,HR,49.36,5.47
4342,Engineering,4.86,7.67
4043,Sales,6.87,8.27
1479,IT,2.44,6.18
2361,Sales,25.61,6.41
4299,HR,39.12,9.13
1694,Legal,40.89,3.39
4264,Sales,20.4,2.59
4889,Sales,36.65,3.72
5506,Operations,47.98,8.69
3676,Finance,41.02,4.61
3432,Marketing,35.77,7.32
5560,Legal,38.54,5.88
2280,Marketing,35.99,5.24
5867,Marketing,29.12,6.5
2640,Sales,14.26,9.06
1899,HR,47.23,6.94
5148,Engineering,6.99,2.91
1668,Sales,9.54,3.71
4543,Marketing,27.31,8.08
1742,Marketing,13.6,7.35
3865,Legal,7.3,8.16
5301,Operations,31.33,7.15
2742,Marketing,6.96,4.93
1036,Sales,23.19,4.2
5295,Marketing,19.82,5.16
3535,Finance,2.86,1.78
2575,Operations,21.12,5.6
3079,Sales,26.04,7.31
4226,Operations,18.61,5.28
4718,Finance,8.4,7.67
2549,Legal,35.51,2.36
1932,IT,44.96,7.91
2120,Marketing,37.93,6.07
2979,Operations,40.46,5.11
2329,Legal,12.63,4.75
2820,IT,29.37,1.61
3338,Marketing,13.2,9.45
3706,Engineering,25.85,9.38
4706,Finance,8.18,1.91
2132,Legal,30.12,8.64
4220,Sales,15.36,3.34
5433,IT,23.19,2.51
3189,Marketing,12.14,3.88
2285,HR,27.44,5.77
3273,Finance,26.01,8.41
2070,IT,17.12,9.27
4394,Operations,15.61,4.24
2059,Operations,4.21,8.93
1937,Operations,15.25,9.36
4747,Finance,21.03,1.27
5818,IT,33.78,9.64
2453,Finance,1.91,1.15
1147,Marketing,3.33,6.72
1953,Finance,26.39,3.37
1066,Finance,15,6.99
4067,IT,2.62,5.97
5622,HR,45.19,3.41
2012,Operations,14.31,6.18
5614,Operations,16.92,5.4
4562,Engineering,31.89,1.38
4195,Finance,2.38,9.63
3859,IT,35.18,5.31
4306,Marketing,19.03,5.87
5394,Finance,47.99,4.7
5696,Sales,22.35,8.46
1253,Engineering,37.56,8.74
2802,Marketing,7.22,9.47
3782,Legal,13.16,5.09
2636,Finance,46.27,9.19
3782,Operations,36.17,1.99
4795,IT,23.88,1.39
4931,IT,32.38,3.77
2249,Legal,30.67,9.35
2168,Operations,37.28,2.24
2191,HR,5.31,3.94
2334,Sales,1.65,8.32
5336,Engineering,1.85,6.33
3094,HR,40.96,8.51
1605,IT,28.28,7.29
5666,Sales,28.22,5.51
4383,Operations,7.42,5.73
5145,Sales,24.99,2.25
4620,Marketing,16.19,5.15
3072,Marketing,16.39,6.39
4180,Finance,39.69,6.78
1421,Operations,30.31,5.11
2777,Finance,12,5.21
2992,Engineering,28.78,4.07
2943,IT,14.47,4.42
2704,Finance,35.28,5.37
1750,Operations,5.86,3.92
2087,Operations,37.84,5.58
1371,Legal,35.78,8.41
1476,Engineering,27.37,8.65
1761,Sales,36.12,1.6
5713,HR,4.25,5.57
1474,Marketing,0.31,5.86
4369,Marketing,20.85,4.27
1765,Marketing,42.37,3.94
5376,HR,33.11,5.3
1296,Marketing,35.61,8.48
4041,Legal,44.11,8.41
4445,Engineering,47.77,9.29
5058,Marketing,45.91,6
2933,Sales,4.06,1.51
2795,IT,4.16,5.78
2252,IT,4.09,4.92
3234,IT,36.37,3.34
4595,Engineering,5.97,3.52
3634,HR,1.92,5.88
5990,Sales,37.53,2.27
5277,Engineering,46.09,1.36
5009,Legal,0.99,4.87
3627,IT,40.89,1.64
3639,Operations,23.86,8.88
4187,Operations,18.37,1.35
3843,Legal,34.8,6.9
4547,Marketing,47.53,9.87
1510,Marketing,38.76,9.77
5126,Sales,22.93,4.99
5174,Finance,41.54,3.61
5299,Sales,32.66,4.95
5468,Marketing,44.57,6.97
5842,Operations,32.93,4.7
2200,IT,10.36,1.5
4945,HR,30.73,3.85
1666,Finance,14.71,3.28
5883,Legal,6.11,1.26
3464,IT,2.77,9.67
1886,Operations,27.4,3.81
2914,Legal,1.33,2.48
1089,HR,21.44,3.78
3218,HR,18.28,4.14
1467,Sales,9.64,6.41
4594,Engineering,29.8,2.43
3289,Finance,30.92,6.2
4612,Marketing,31.1,9.34
5915,Legal,40.83,2.49
1596,IT,13.42,5.85
5403,Sales,49.45,5.1
4708,Legal,45,7.43
2532,Finance,22.77,1.52
5792,HR,10.85,2.24
3500,Sales,29.01,9.04
1964,Legal,6.85,9.51
4974,IT,27.97,7.62
5290,Operations,42.22,2.62
1898,Legal,45.82,2.12
3261,IT,9.97,7.18
2226,Marketing,23.62,6.68
4503,Engineering,48.4,2.1
2818,Sales,8.88,1.05
5630,Marketing,16.58,3.39
3969,Marketing,9.52,4.96
2281,IT,33.7,7.17
3925,IT,42.2,3.4
5037,Operations,10.3,2.67
2745,Marketing,39.42,3.46
3635,Legal,18.38,2.54
4491,HR,9.54,1.8
2200,Engineering,32.77,4.78
3099,Finance,32.36,3.23
5821,Engineering,49.26,3.44
5738,IT,12.5,6.76
2309,HR,39.75,9.03
2199,Finance,9.25,6.92
2129,Legal,19.72,6.5
