LogID,EmployeeID,ProjectID,Date,HoursWorked
62,4100,197,2025-01-05,7
63,3856,174,2024-09-11,8
64,1027,174,2024-06-12,3
65,4268,105,2024-07-02,2
66,1085,170,2024-04-12,4
67,4102,53,2024-07-26,7
68,2123,161,2024-10-06,2
69,1012,119,2024-07-28,4
70,2749,150,2025-02-07,7
71,4110,58,2024-10-01,6
72,2877,8,2024-06-10,6
73,3620,137,2024-06-03,7
74,1180,139,2024-05-26,3
75,1797,37,2024-10-16,5
76,4814,115,2025-01-17,6
77,3025,20,2025-01-30,8
78,4218,116,2024-04-08,2
79,1887,176,2024-11-20,6
80,3469,87,2024-08-01,3
81,4388,137,2024-05-29,6
82,2520,46,2024-10-28,1
83,3433,124,2024-10-12,4
84,5867,26,2024-08-31,5
85,1917,16,2024-02-20,3
86,3071,50,2024-04-04,8
87,4977,84,2024-07-26,2
88,2782,16,2024-10-06,4
89,1339,88,2024-05-04,1
90,2517,122,2024-12-06,1
91,3871,144,2024-05-28,8
92,4583,113,2024-11-14,8
93,1915,59,2024-04-09,1
94,4291,96,2024-09-30,6
95,5571,166,2024-05-01,5
96,2447,190,2025-01-01,1
97,2380,57,2024-10-25,3
98,2484,181,2024-10-02,2
99,3075,113,2024-04-06,1
100,1801,36,2024-11-06,6
101,2247,42,2024-05-26,7
102,5960,54,2024-04-11,8
103,3738,88,2024-11-22,6
104,4496,52,2024-03-06,1
105,5835,21,2024-05-19,3
106,4258,40,2024-05-27,8
107,4878,144,2024-12-05,7
108,1982,83,2024-03-09,1
109,3477,20,2024-11-29,7
110,3089,122,2024-03-19,1
111,3953,124,2024-11-11,3
112,2012,102,2024-07-22,7
113,4465,133,2024-04-11,2
114,3751,143,2024-05-14,2
115,3127,40,2024-06-06,2
116,5813,74,2024-04-03,3
117,4862,75,2024-09-30,5
118,3592,44,2024-02-21,2
119,2474,57,2024-10-30,8
120,3522,114,2024-05-11,1
121,2166,40,2024-11-24,3
122,4323,110,2024-04-03,8
123,1610,191,2025-01-07,2
124,3184,24,2024-11-16,5
125,3532,98,2024-02-25,5
126,3862,40,2024-07-29,8
127,5651,149,2024-04-01,3
128,2656,194,2024-07-01,8
129,2756,147,2024-05-10,1
130,1046,142,2024-08-11,3
131,2260,101,2024-04-16,3
132,5639,20,2024-04-17,3
133,4233,57,2024-11-27,4
134,2452,148,2024-10-28,6
135,3119,117,2024-12-21,2
136,3568,31,2024-04-07,3
137,2993,29,2025-01-22,6
138,4124,184,2024-07-12,4
139,3341,52,2024-06-25,8
140,5908,75,2024-07-28,5
141,2489,74,2024-07-16,5
142,2574,112,2024-11-02,3
143,5963,18,2024-09-08,6
144,3428,137,2024-11-10,2
145,2767,126,2024-06-05,7
146,4550,61,2024-08-10,4
147,3310,58,2024-11-03,6
148,5676,198,2024-05-08,8
149,3405,76,2025-01-18,7
150,2443,1,2024-10-23,2
151,5794,74,2024-04-16,8
152,2977,66,2024-05-10,6
153,4974,45,2024-07-20,1
154,3491,169,2024-07-06,3
155,1726,25,2024-05-03,4
156,4804,158,2025-01-22,2
157,5382,172,2024-11-04,5
158,4828,160,2025-01-18,3
159,5666,134,2024-11-03,2
160,4620,115,2024-05-24,3
161,3888,59,2024-08-28,3
162,1498,142,2024-08-27,8
163,4977,151,2024-06-05,3
164,1705,77,2024-08-07,7
165,5658,126,2024-03-10,4
166,5128,88,2024-05-27,1
167,4682,126,2024-02-21,8
168,5139,48,2024-08-06,5
169,2917,188,2024-08-18,5
170,2375,47,2024-04-21,6
171,2846,138,2024-03-14,2
172,5655,46,2024-12-19,1
173,2437,74,2025-01-30,1
174,4091,8,2025-01-08,5
175,2371,82,2024-03-14,5
176,2929,178,2024-12-06,3
177,2637,76,2024-08-16,1
178,1092,149,2024-09-10,3
179,2844,114,2024-06-11,2
180,1185,154,2024-05-09,1
181,5824,139,2024-07-29,5
182,2572,11,2024-04-02,3
183,1832,180,2025-01-27,5
184,5441,158,2024-06-10,3
185,3126,174,2024-04-14,6
186,5263,129,2024-06-09,7
187,1264,180,2024-06-07,2
188,2287,15,2024-04-28,3
189,2530,28,2024-08-03,1
190,2809,191,2024-12-14,8
191,2878,58,2024-02-25,2
192,2750,197,2024-08-21,3
193,2910,173,2024-12-21,6
194,3624,169,2024-12-12,7
195,2198,72,2024-09-12,8
196,3479,38,2024-03-16,8
197,5864,38,2024-10-04,2
198,3511,180,2024-08-14,6
199,1101,46,2024-07-04,4
200,4088,53,2024-06-16,8
201,2920,30,2024-10-27,1
202,3292,132,2024-05-17,7
203,4321,130,2024-08-12,4
204,1105,63,2024-05-08,5
205,1694,85,2024-11-13,4
206,4241,189,2025-01-20,5
207,4492,125,2024-06-06,4
208,4393,161,2025-01-11,4
209,5914,121,2024-08-23,6
210,3269,58,2024-07-20,3
211,4784,92,2024-06-03,2
212,4513,169,2024-04-22,5
213,1890,9,2024-08-24,4
214,1790,98,2024-05-15,5
215,5649,147,2024-08-08,7
216,5940,93,2025-02-05,8
217,1659,120,2024-04-11,5
218,2019,114,2024-02-26,8
219,2954,44,2024-12-19,6
220,2191,73,2024-05-21,7
221,4707,7,2024-10-27,8
222,4658,31,2024-08-26,4
223,5847,67,2024-07-18,8
224,3297,136,2024-05-15,7
225,1775,73,2024-09-21,1
226,3812,53,2024-09-04,6
227,2381,15,2024-10-26,1
228,4183,8,2025-02-16,6
229,5788,124,2024-04-16,1
230,5815,87,2024-04-02,6
231,5330,193,2024-06-02,1
232,4098,46,2024-11-26,1
233,2405,100,2024-07-13,8
234,4802,7,2024-09-09,6
235,2370,78,2024-05-28,8
236,3065,10,2024-11-13,2
237,3293,85,2024-03-29,2
238,3766,98,2024-06-04,4
239,3818,163,2025-01-19,6
240,1717,104,2024-11-01,2
241,5041,48,2024-09-07,6
242,2712,191,2024-12-26,8
243,2226,189,2024-06-19,6
244,1009,97,2024-12-05,2
245,1598,141,2024-07-25,6
246,5119,95,2024-02-27,5
247,2609,53,2024-03-15,4
248,4032,99,2024-09-27,3
249,4668,9,2025-01-28,6
250,3247,70,2024-04-01,6
251,4627,195,2024-05-23,8
252,5072,104,2025-02-03,6
253,3823,142,2024-06-08,7
254,1092,14,2024-05-27,6
255,1851,177,2024-12-30,4
256,2108,193,2024-05-24,6
257,1300,100,2024-12-10,2
258,3344,90,2024-11-05,6
259,2478,138,2025-02-15,5
260,2083,39,2024-09-22,2
261,3957,185,2025-01-17,3
262,3919,18,2024-10-15,8
263,2366,122,2024-09-30,6
264,3801,74,2024-12-26,6
265,4537,70,2025-02-13,7
266,4952,69,2024-09-12,1
267,3110,195,2025-02-12,3
268,1776,185,2024-05-01,2
269,2453,47,2024-10-20,2
270,2682,176,2024-08-31,3
271,3304,189,2024-09-12,4
272,2852,136,2024-02-21,3
273,2898,107,2024-04-17,8
274,4419,25,2024-02-27,5
275,4598,114,2024-06-26,5
276,2328,100,2024-12-14,8
277,1615,67,2024-11-13,4
278,1245,87,2024-12-14,8
279,1757,108,2024-09-22,8
280,1824,98,2024-08-01,4
281,3828,117,2024-09-27,8
282,4808,68,2024-07-01,7
283,3780,123,2024-02-20,8
284,2847,47,2024-08-24,4
285,2241,117,2024-05-05,7
286,5612,176,2024-05-02,3
287,1474,53,2024-04-02,8
288,5132,19,2024-11-30,3
289,4250,189,2024-06-17,5
290,2793,26,2024-11-25,6
291,2735,89,2024-12-12,3
292,5926,42,2024-08-02,2
293,4943,134,2024-05-27,7
294,1945,60,2024-11-16,4
295,2512,197,2024-12-28,1
296,5082,163,2024-06-04,8
297,5527,100,2024-10-04,1
298,1859,35,2024-05-07,4
299,4561,140,2024-10-21,7
300,1230,90,2024-07-25,4
301,3418,125,2024-11-06,3
302,1178,173,2025-01-11,8
303,4929,196,2024-10-10,7
304,3616,136,2024-09-26,8
305,2614,27,2024-09-26,2
306,3841,28,2024-07-07,5
307,3948,136,2024-03-28,8
308,2775,172,2024-07-16,5
309,4872,182,2024-08-21,6
310,1082,14,2024-10-19,8
311,1846,169,2024-05-06,2
312,3810,198,2025-01-30,7
313,2217,105,2024-05-25,6
314,5714,150,2024-06-25,3
315,4261,153,2024-03-08,8
316,4146,72,2025-01-18,7
317,3264,132,2024-06-29,1
318,3338,119,2024-07-07,4
319,1445,35,2024-08-21,6
320,1923,115,2024-12-10,3
321,5289,117,2024-05-23,7
322,5385,107,2024-09-13,1
323,3631,119,2024-06-28,3
324,2168,122,2024-08-29,3
325,4964,98,2024-05-18,4
326,4442,148,2024-08-05,7
327,4513,176,2024-09-25,7
328,1896,74,2024-02-26,3
329,4723,117,2024-11-13,2
330,3061,180,2024-03-20,3
331,4035,38,2024-03-31,5
332,3388,111,2024-09-26,8
333,2898,48,2025-02-01,4
334,2800,45,2024-04-13,2
335,5408,96,2024-05-19,2
336,3781,118,2024-07-28,5
337,2128,82,2025-01-21,5
338,1339,112,2024-03-08,2
339,5455,33,2024-05-09,7
340,2173,59,2024-08-19,1
341,3809,15,2024-07-29,5
342,5864,172,2024-09-14,8
343,4030,35,2024-12-02,2
344,3090,58,2024-03-19,3
345,5298,24,2024-03-30,1
346,4018,159,2024-11-10,7
347,5560,32,2024-09-20,6
348,1449,161,2024-08-09,5
349,5894,104,2024-11-25,3
350,1794,108,2024-04-12,2
351,1437,123,2024-05-15,5
352,5627,106,2024-12-02,1
353,5661,139,2024-05-13,4
354,2621,96,2024-05-14,6
355,4502,47,2024-07-13,4
356,3920,195,2024-03-28,8
357,5309,8,2024-03-05,3
358,1949,161,2024-05-29,4
359,4945,83,2024-02-24,5
360,2128,41,2025-02-10,7
361,1192,8,2024-10-05,4
362,5013,124,2024-07-27,1
363,4761,26,2024-04-06,4
364,4731,147,2024-06-07,2
365,2404,108,2024-10-26,4
366,2991,187,2024-10-05,2
367,2105,137,2025-01-30,5
368,5801,102,2024-08-12,3
369,1549,99,2025-01-31,8
370,4449,7,2024-05-11,1
371,2862,196,2024-03-27,8
372,5250,6,2024-07-01,3
373,1571,98,2025-02-12,4
374,2785,61,2024-05-21,4
375,3288,16,2024-10-14,1
376,3422,164,2024-04-06,6
377,4973,14,2024-03-27,4
378,1805,121,2024-12-28,7
379,1799,135,2024-05-27,7
380,4276,66,2024-12-23,2
381,1611,31,2024-10-09,6
382,2807,29,2024-09-15,3
383,5239,187,2024-12-05,4
384,4261,81,2024-10-21,5
385,5368,199,2025-02-18,6
386,4372,79,2024-12-11,7
387,3474,156,2024-05-23,7
388,3094,60,2024-03-08,2
389,3143,6,2024-08-22,5
390,5002,134,2024-11-13,1
391,4081,27,2024-06-06,5
392,5555,181,2024-09-17,2
393,2433,98,2024-04-24,4
394,3518,78,2024-11-01,5
395,3858,17,2024-12-10,1
396,1506,74,2024-11-16,4
397,2097,113,2024-11-28,5
398,5180,62,2024-02-22,7
399,5155,66,2025-02-13,2
400,2045,56,2025-01-12,2
401,3205,21,2024-08-28,3
402,4903,99,2025-01-02,5
403,2353,92,2024-05-14,4
404,2597,191,2024-12-25,4
405,1576,36,2024-07-28,6
406,1680,169,2025-01-29,2
407,5299,173,2024-06-27,7
408,4713,181,2024-03-29,8
409,4829,192,2024-03-25,8
410,2130,84,2024-09-02,3
411,4905,135,2024-10-03,2
412,4194,150,2024-05-19,3
413,1318,109,2025-02-13,8
414,4697,114,2024-09-30,2
415,5502,148,2024-06-06,2
416,3997,32,2024-02-20,4
417,4595,147,2024-08-03,2
418,4210,28,2024-11-16,8
419,3543,86,2024-07-04,8
420,1679,66,2025-02-16,5
421,2890,198,2024-07-07,5
422,2644,42,2024-12-08,6
423,1835,54,2024-08-13,2
424,3242,67,2024-09-23,6
425,3356,64,2024-11-16,1
426,2669,24,2024-04-23,8
427,3554,12,2024-03-01,5
428,1281,69,2024-12-02,7
429,3763,84,2024-03-28,3
430,5704,196,2024-10-20,3
431,5579,154,2024-09-29,6
432,2247,16,2024-02-28,7
433,2773,147,2024-11-05,1
434,3165,31,2024-06-05,3
435,1192,108,2024-05-04,3
436,3836,3,2024-04-26,1
437,3666,79,2025-01-04,8
438,3564,55,2024-04-20,6
439,1307,139,2024-05-20,1
440,1532,16,2024-12-02,3
441,5218,115,2024-03-08,5
442,3697,175,2024-11-30,6
443,5688,39,2024-04-29,6
444,1059,107,2024-05-06,1
445,2574,119,2025-01-06,3
446,2141,52,2024-05-11,4
447,2811,111,2024-05-06,8
448,4199,129,2024-04-11,2
449,4477,160,2024-06-13,2
450,5495,121,2024-08-16,6
451,3563,72,2024-03-14,3
452,3853,19,2024-11-02,6
453,1942,187,2024-08-12,2
454,5624,90,2024-05-17,8
455,2775,169,2024-10-17,4
456,2422,116,2024-04-12,8
457,1436,11,2024-03-03,1
458,1840,199,2024-04-05,6
459,5002,198,2024-11-27,4
460,5456,153,2025-02-08,5
461,5960,96,2024-11-27,1
462,3682,161,2024-05-09,1
463,2651,95,2024-07-11,5
464,2246,144,2024-10-20,7
465,3262,164,2024-12-09,7
466,1916,17,2025-01-26,6
467,3640,173,2024-12-11,1
468,4890,154,2024-06-15,2
469,5482,151,2025-01-09,6
470,2327,173,2024-11-12,6
471,4359,175,2024-08-05,2
472,2586,184,2024-04-19,8
473,4369,11,2024-11-13,8
474,1389,116,2024-03-15,2
475,3792,115,2025-01-08,2
476,4333,30,2025-02-03,2
477,1704,25,2024-04-21,2
478,3821,98,2024-08-21,1
479,5960,108,2024-07-15,3
480,2060,149,2024-02-22,6
481,5175,130,2024-04-26,5
482,2299,195,2024-07-14,1
483,2302,5,2024-03-04,5
484,1674,173,2024-09-14,2
485,3360,66,2024-04-28,2
486,5300,192,2024-11-11,4
487,5113,23,2025-01-12,1
488,5572,146,2025-01-31,6
489,4583,58,2024-08-01,1
490,2017,60,2024-04-02,4
491,1210,15,2024-03-23,6
492,1499,85,2024-12-12,2
493,1429,197,2024-04-21,5
494,4640,67,2024-05-12,2
495,4152,8,2024-03-19,2
496,3106,166,2024-04-19,7
497,2554,154,2024-07-30,4
498,4207,64,2024-04-02,5
499,3570,192,2024-08-06,2
500,3629,115,2024-05-19,2
501,2877,127,2024-11-17,8
502,5995,74,2024-12-31,4
503,2068,129,2024-04-24,3
504,2507,42,2024-06-02,7
505,4014,139,2024-11-23,7
506,2668,69,2024-09-09,2
507,5589,129,2024-11-23,8
508,5701,193,2024-09-22,4
509,5067,83,2025-01-28,1
510,1948,178,2024-11-08,7
511,5390,69,2024-09-13,7
512,2172,92,2025-02-03,5
513,1172,188,2025-02-15,4
514,5627,165,2024-10-06,6
515,2144,151,2025-02-03,1
516,2860,5,2025-02-10,8
517,3189,87,2024-10-04,8
518,3494,81,2024-06-27,8
519,4578,132,2025-01-29,4
520,1189,145,2024-08-13,6
521,5077,123,2024-04-21,2
522,1158,158,2025-01-06,7
523,3718,54,2024-10-07,7
524,2971,116,2024-09-13,5
525,1246,89,2024-11-02,6
526,3904,81,2024-09-27,3
527,3796,78,2024-05-13,7
528,4825,23,2024-08-12,8
529,3378,24,2024-08-03,8
530,1850,17,2024-04-26,5
531,2811,187,2024-10-14,6
532,4987,52,2025-01-09,2
533,3127,46,2024-12-24,1
534,5265,118,2024-08-10,2
535,4031,78,2024-06-07,1
536,3308,187,2024-06-21,2
537,4077,79,2024-05-31,7
538,3345,19,2024-10-12,4
539,1620,127,2024-05-13,1
540,3903,69,2025-02-13,1
541,3408,17,2024-11-30,1
542,5453,97,2024-12-26,2
543,4005,103,2024-12-15,7
544,4915,134,2025-01-09,2
545,3487,25,2024-02-27,5
546,4403,175,2024-05-06,4
547,4597,145,2024-07-26,8
548,2678,33,2024-06-13,3
549,5040,139,2024-07-14,7
550,2305,161,2024-12-16,3
551,5094,28,2024-09-14,6
552,2964,106,2024-08-18,2
553,4308,41,2025-02-14,7
554,2362,59,2024-03-26,8
555,5295,133,2025-01-24,7
556,2788,85,2024-10-02,2
557,2074,30,2024-04-04,7
558,2166,174,2024-12-25,7
559,4600,90,2024-11-15,1
560,3718,56,2024-04-09,5
561,4154,3,2025-02-03,5
562,5127,113,2024-03-11,7
563,4056,12,2024-05-19,7
564,1660,135,2024-12-02,4
565,5643,26,2024-11-17,6
566,3583,172,2024-09-14,5
567,2130,56,2025-01-17,8
568,3275,183,2024-04-03,1
569,5467,13,2024-09-24,6
570,2469,153,2024-08-24,7
571,3103,81,2024-07-22,7
572,4267,16,2025-02-07,4
573,3472,104,2024-10-29,7
574,2152,169,2024-10-02,4
575,1093,82,2024-11-22,7
576,3567,132,2024-12-02,1
577,2282,40,2025-01-02,3
578,3901,51,2024-04-12,3
579,3800,183,2024-03-11,5
580,4178,161,2024-09-08,6
581,5512,126,2024-04-29,4
582,3605,39,2024-09-16,5
583,4882,152,2025-01-25,7
584,3414,83,2024-05-20,3
585,2545,63,2024-12-26,2
586,4531,60,2024-04-09,3
587,3647,110,2024-05-23,8
588,5785,128,2025-02-06,7
589,3059,98,2024-03-10,5
590,5515,52,2024-09-04,8
591,2146,49,2025-01-18,4
592,1911,66,2024-10-12,7
593,4307,41,2024-09-18,2
594,2567,143,2025-01-28,7
595,3396,57,2024-03-19,4
596,4006,110,2024-05-23,2
597,5508,49,2024-09-16,2
598,5249,187,2024-09-21,2
599,1092,6,2024-03-23,4
600,4993,192,2024-06-30,2
601,1331,151,2024-09-10,8
602,1955,170,2024-09-15,8
603,4781,69,2024-03-27,8
604,3602,168,2024-05-30,5
605,3978,31,2024-05-31,6
606,5290,142,2024-06-27,3
607,1530,198,2024-09-20,7
608,3893,97,2024-04-12,6
609,2267,45,2025-01-06,7
610,2474,96,2024-04-29,1
611,5735,12,2024-03-08,4
612,2598,167,2024-08-04,7
613,3526,150,2024-08-28,1
614,5794,78,2025-01-15,5
615,4762,35,2025-01-10,7
616,3743,99,2024-05-09,4
617,5636,13,2024-04-14,8
618,5426,168,2024-12-27,8
619,1470,21,2024-12-22,5
620,4831,186,2024-05-15,2
621,1534,195,2024-11-17,5
622,5563,142,2024-10-24,3
623,5056,191,2024-03-25,3
624,4680,138,2024-09-08,3
625,5088,97,2024-04-17,1
626,1762,72,2024-10-19,8
627,1891,184,2024-08-09,4
628,3356,4,2024-03-18,2
629,2956,55,2024-08-01,8
630,3972,115,2024-11-25,4
631,2673,137,2024-10-23,7
632,3837,189,2024-09-19,6
633,5928,65,2024-03-22,6
634,5940,61,2024-12-02,1
635,4645,184,2024-12-11,8
636,3298,77,2024-06-23,4
637,5062,53,2024-08-16,5
638,4167,44,2024-04-23,4
639,2320,56,2024-11-10,5
640,1184,94,2024-06-06,8
641,2284,167,2025-01-14,7
642,3847,23,2024-06-30,4
643,3234,149,2024-03-02,1
644,5089,103,2024-03-03,1
645,2433,77,2024-12-13,4
646,4141,141,2024-02-24,4
647,2797,59,2024-12-18,8
648,5723,26,2024-03-01,8
649,3056,113,2024-12-17,2
650,4337,89,2024-11-04,2
651,1783,175,2024-11-14,8
652,2508,132,2024-02-29,1
653,5871,85,2025-01-20,2
654,4855,71,2024-12-30,3
655,1677,70,2024-11-26,6
656,2831,70,2024-03-02,4
657,5091,171,2024-03-23,6
658,5307,167,2024-06-24,2
659,2361,159,2024-04-24,3
660,5586,73,2024-12-10,7
661,3687,2,2024-12-04,3
662,1191,7,2024-12-29,5
663,1843,1,2024-10-24,8
664,1335,135,2024-10-04,6
665,2111,9,2024-03-22,8
666,1579,48,2024-03-23,7
667,1062,55,2024-11-13,2
668,1387,95,2024-05-03,7
669,2170,60,2024-08-24,8
670,3201,122,2024-12-28,7
671,5715,70,2024-03-29,4
672,2684,78,2024-08-08,8
673,1487,186,2024-12-20,4
674,4733,49,2025-02-01,3
675,1541,158,2024-09-16,6
676,3061,22,2024-10-28,2
677,5247,4,2024-07-13,5
678,2239,93,2024-03-13,1
679,1991,66,2024-12-21,8
680,5468,30,2024-10-21,2
681,3300,152,2024-12-06,7
682,4908,80,2024-10-11,1
683,5289,25,2024-03-01,8
684,2081,65,2024-11-25,4
685,1198,103,2024-04-18,8
686,3195,16,2024-07-06,4
687,2599,55,2024-06-20,3
688,2601,155,2024-07-16,4
689,4693,93,2024-11-07,1
690,4866,124,2024-04-04,3
691,1684,119,2024-12-24,8
692,4084,68,2025-02-09,1
693,4990,188,2024-09-02,6
694,1333,102,2024-10-27,7
695,2772,123,2024-06-11,5
696,5201,186,2024-12-08,4
697,3722,185,2024-06-12,6
698,1807,176,2024-05-31,1
699,2065,109,2024-04-21,8
700,1889,108,2024-03-24,4
701,3924,41,2024-09-18,4
702,1321,196,2024-12-31,8
703,4958,162,2024-04-17,4
704,3383,162,2024-10-10,8
705,4232,130,2024-11-05,2
706,3312,1,2024-09-30,5
707,4602,87,2024-09-16,8
708,2501,37,2024-08-23,7
709,2569,83,2024-06-10,8
710,4282,187,2024-08-28,4
711,2520,171,2024-09-09,1
712,2919,115,2025-02-07,4
713,5090,187,2024-12-14,5
714,2866,76,2024-03-20,7
715,2406,65,2024-04-18,8
716,3724,13,2024-04-28,1
717,1005,111,2025-01-05,6
718,2169,1,2024-12-12,1
719,3399,173,2024-06-11,2
720,3631,74,2024-09-01,6
721,1348,142,2024-10-18,7
722,5221,168,2024-12-22,8
723,2814,150,2024-03-07,1
724,4343,127,2024-06-20,4
725,3575,174,2024-07-16,7
726,4826,101,2024-08-20,2
727,5594,47,2024-03-06,3
728,1053,187,2024-09-03,2
729,1149,92,2024-08-06,2
730,1503,140,2024-08-19,3
731,1870,57,2024-03-01,1
732,4522,65,2024-03-08,8
733,5315,146,2024-10-09,1
734,4872,196,2024-03-09,1
735,2301,70,2024-02-21,2
736,3500,58,2024-11-03,3
737,5034,179,2024-05-31,2
738,4290,62,2025-01-29,6
739,5834,190,2024-05-25,3
740,4854,113,2024-07-15,4
741,3452,108,2024-07-03,6
742,5386,163,2024-10-24,4
743,1339,27,2024-07-01,2
744,3825,184,2024-03-25,5
745,2694,29,2024-07-09,1
746,1987,43,2024-11-27,2
747,4491,117,2024-09-07,4
748,3734,17,2024-06-05,7
749,4768,165,2024-09-12,3
750,5077,40,2024-04-18,2
751,3007,91,2024-07-26,1
752,4108,185,2024-07-15,3
753,5469,134,2024-09-25,4
754,4331,100,2024-04-07,6
755,4042,187,2024-05-21,7
756,1531,187,2024-07-29,5
757,1924,109,2024-04-17,2
758,5119,117,2024-12-25,4
759,1241,199,2024-06-03,4
760,2897,43,2024-09-05,2
761,4325,122,2024-05-18,4
762,1814,128,2024-06-23,6
763,5751,84,2024-07-12,8
764,1783,143,2024-11-02,1
765,5056,15,2024-03-10,2
766,1008,87,2024-07-11,8
767,4774,10,2024-06-19,5
768,5671,68,2025-01-04,8
769,4140,33,2024-04-26,2
770,4790,9,2024-12-20,1
771,5052,155,2024-10-01,6
772,1518,190,2024-07-14,7
773,4191,122,2024-11-29,6
774,4103,11,2024-03-07,8
775,5579,143,2024-09-21,2
776,3717,199,2024-11-23,8
777,1579,90,2024-03-06,3
778,5483,8,2024-10-19,6
779,5508,69,2024-08-20,6
780,2866,194,2024-03-11,1
781,2377,130,2024-07-26,4
782,3939,145,2024-05-10,6
783,1906,77,2024-05-23,6
784,1965,9,2024-07-28,8
785,2977,71,2024-10-10,3
786,5760,76,2025-01-17,2
787,5921,4,2024-10-15,8
788,2888,31,2024-09-23,7
789,3448,131,2024-08-16,1
790,1992,41,2024-10-17,2
791,4557,135,2024-07-06,4
792,4960,194,2024-12-21,1
793,4605,75,2024-02-26,6
794,2084,178,2024-12-15,8
795,1435,60,2024-10-19,5
796,1021,199,2024-12-18,5
797,3923,47,2024-10-24,4
798,2926,57,2025-02-18,7
799,2473,84,2025-01-17,5
800,2100,150,2025-02-13,3
801,3638,22,2024-09-11,2
802,1390,89,2024-05-01,7
803,4414,18,2024-04-08,6
804,3616,190,2024-03-16,6
805,2355,114,2024-03-14,2
806,5522,12,2024-06-03,4
807,1006,29,2024-12-27,8
808,1191,3,2024-03-09,3
809,1148,181,2025-02-14,1
810,5501,119,2024-04-07,8
811,5354,26,2025-01-21,3
812,4551,180,2024-07-21,3
813,5920,78,2024-05-28,4
814,5106,106,2025-01-09,1
815,2111,169,2024-09-12,6
816,4834,141,2024-04-08,1
817,5934,120,2025-01-30,6
818,1625,168,2024-09-22,7
819,5126,92,2025-02-09,4
820,3176,51,2024-09-12,6
821,4150,96,2024-12-02,4
822,2079,130,2024-02-21,2
823,4552,164,2024-05-31,3
824,3353,14,2024-10-19,7
825,1546,154,2024-11-30,1
826,2196,194,2024-05-30,6
827,3070,139,2025-01-17,3
828,4359,50,2024-10-27,2
829,3439,125,2024-04-28,6
830,1617,71,2024-09-19,3
831,5245,163,2024-08-21,1
832,4344,157,2024-08-31,2
833,2812,38,2025-01-26,6
834,1172,33,2025-02-15,3
835,5143,75,2024-05-26,4
836,1626,134,2024-09-07,2
837,5064,146,2024-05-05,3
838,3255,159,2024-07-15,3
839,1453,79,2024-11-24,4
840,2419,77,2024-12-12,5
841,1754,133,2024-05-02,5
842,4373,40,2024-09-12,5
843,3724,175,2024-10-28,8
844,4011,63,2024-03-15,1
845,3912,82,2024-07-24,2
846,2226,43,2024-06-03,5
847,1168,2,2024-05-24,4
848,4686,76,2024-04-20,2
849,1086,148,2024-11-07,7
850,2678,113,2024-03-16,4
851,2983,24,2024-04-14,1
852,5945,73,2024-11-16,4
853,2487,110,2024-07-24,6
854,1442,163,2024-10-17,7
855,1271,183,2024-11-09,1
856,1344,180,2024-06-13,4
857,2207,45,2024-11-27,7
858,4082,47,2024-04-26,8
859,2258,93,2024-09-09,8
860,3292,123,2024-09-28,2
861,2533,51,2024-10-27,5
862,4423,117,2024-11-06,6
863,5363,121,2024-11-05,2
864,2654,29,2024-11-29,6
865,5989,196,2024-06-18,8
866,1239,104,2024-07-27,5
867,1915,178,2024-06-14,3
868,2439,123,2024-04-21,7
869,4017,14,2024-02-28,6
870,2461,156,2024-05-24,2
871,4080,58,2025-01-26,6
