EmployeeID,Quarter,PerformanceScore,CompletedProjects,OverdueTasks
3130,Q3,4,0,4
1464,Q3,1,6,2
1699,Q2,3,7,2
5094,Q1,4,0,2
5805,Q2,2,4,4
1487,Q2,4,1,3
3416,Q1,5,8,1
5131,Q4,4,4,2
2242,Q2,5,6,3
1719,Q3,3,4,1
5963,Q1,3,5,0
2775,Q4,4,4,0
5642,Q3,5,1,0
3023,Q4,4,7,1
4350,Q2,1,5,4
5633,Q4,2,8,3
3022,Q3,5,7,0
3520,Q4,3,1,3
1806,Q4,3,6,2
2148,Q2,3,8,1
3737,Q3,5,3,3
2817,Q2,5,4,2
5638,Q1,4,4,3
4968,Q2,5,0,4
4302,Q4,1,0,3
1071,Q2,4,3,3
1254,Q3,5,3,3
4254,Q3,4,9,2
4845,Q4,2,4,0
4439,Q3,1,2,4
2820,Q2,2,9,2
1998,Q4,5,1,2
2747,Q4,3,6,3
4245,Q2,4,8,2
1436,Q4,1,7,0
1481,Q4,4,6,3
3508,Q3,5,3,4
1476,Q2,5,8,0
5563,Q4,4,8,2
3820,Q2,5,3,2
1706,Q3,5,2,4
4052,Q1,2,1,2
5010,Q3,3,0,3
4803,Q4,3,6,4
4242,Q1,3,1,1
5814,Q2,4,7,0
2537,Q3,2,8,4
1651,Q2,5,2,0
2328,Q1,1,0,3
1844,Q2,2,7,4
3107,Q3,4,9,2
1554,Q2,1,1,4
5968,Q4,3,4,1
2878,Q1,1,1,3
1369,Q1,5,2,1
2979,Q3,3,1,4
1808,Q2,4,4,0
5602,Q3,2,5,1
1616,Q3,2,4,2
1805,Q1,3,2,4
5727,Q3,2,7,3
1073,Q4,3,9,1
2051,Q2,4,1,2
1719,Q2,2,9,3
3847,Q3,4,0,1
4028,Q2,5,2,4
4866,Q1,1,2,0
5841,Q2,3,9,0
2616,Q4,2,7,2
4746,Q2,5,5,1
1672,Q2,1,2,3
1571,Q2,4,9,1
5539,Q3,5,3,2
3111,Q3,4,5,3
5638,Q3,1,9,3
1205,Q1,5,0,1
3032,Q2,4,0,0
1806,Q1,2,2,0
4687,Q1,5,4,2
2550,Q4,1,5,3
2989,Q3,1,6,0
2305,Q1,1,4,0
2827,Q4,2,1,3
4597,Q3,1,3,1
3430,Q3,4,5,2
1576,Q2,2,0,3
4019,Q1,3,4,4
1673,Q2,5,0,3
1297,Q2,2,2,2
4057,Q2,2,1,2
1483,Q3,1,6,2
3959,Q3,5,1,3
2150,Q4,4,8,1
2594,Q2,4,9,2
2029,Q3,1,7,2
1169,Q4,2,5,1
2862,Q1,1,9,3
3476,Q3,5,8,2
5786,Q2,5,2,2
5761,Q1,3,1,4
4095,Q1,1,5,2
5532,Q3,5,8,2
4777,Q4,5,5,2
4739,Q2,4,6,1
3096,Q4,4,8,2
4649,Q2,3,9,0
2645,Q3,4,5,4
3994,Q2,5,1,2
1749,Q3,4,3,2
1812,Q4,1,6,3
1738,Q4,4,3,2
2812,Q2,5,6,4
5313,Q1,3,1,1
4293,Q3,2,1,0
3721,Q3,1,8,3
3868,Q3,4,4,2
3681,Q2,1,9,2
4740,Q2,1,7,2
2365,Q3,2,2,2
3094,Q1,4,3,1
4433,Q1,2,7,4
3199,Q2,5,9,3
3425,Q3,2,8,4
4312,Q3,2,5,1
5076,Q3,2,4,0
4095,Q2,2,6,2
2937,Q2,2,1,4
2135,Q4,1,4,1
3600,Q4,2,8,1
4937,Q3,3,8,2
4240,Q4,4,6,2
3508,Q3,2,3,0
5505,Q4,1,7,4
4460,Q4,4,6,1
2576,Q3,2,3,0
1805,Q2,1,1,3
3235,Q1,4,1,4
1333,Q4,4,2,1
1864,Q3,2,0,2
2551,Q4,1,6,2
5096,Q3,1,4,3
5489,Q1,3,7,0
4853,Q4,4,9,2
4207,Q1,3,0,4
4308,Q4,3,9,1
4638,Q3,2,2,0
5019,Q3,4,1,0
2755,Q1,4,2,2
5498,Q1,3,5,0
5554,Q3,3,3,3
5680,Q1,3,7,3
5502,Q4,3,4,1
5383,Q1,3,3,3
4055,Q2,5,7,3
4617,Q2,1,0,2
2439,Q1,1,7,1
1302,Q4,2,3,1
3705,Q1,5,8,2
1359,Q4,5,4,1
1470,Q3,4,9,1
2099,Q3,2,4,4
5101,Q1,4,2,0
3254,Q2,3,1,3
1226,Q4,4,1,0
5203,Q2,3,0,4
5126,Q2,2,0,1
2018,Q1,3,7,4
1160,Q3,4,4,1
3409,Q2,4,0,1
4103,Q1,3,4,3
5510,Q3,3,2,2
5821,Q1,4,3,2
4046,Q3,2,1,0
4504,Q4,5,1,0
4685,Q1,1,8,2
5078,Q4,1,5,1
1976,Q3,5,2,1
3387,Q3,4,0,0
2042,Q3,5,0,4
2198,Q1,3,0,1
5296,Q2,3,6,4
5009,Q2,4,4,3
2540,Q4,3,7,4
3340,Q1,1,0,3
4862,Q4,3,2,0
5698,Q3,1,5,4
1194,Q3,2,0,0
3018,Q3,5,2,0
4501,Q4,4,0,0
3649,Q4,2,4,1
2112,Q2,5,1,3
4585,Q4,4,6,0
4472,Q3,5,1,1
1721,Q4,2,9,0
4792,Q4,3,8,3
1162,Q2,1,5,3
1955,Q2,1,4,0
2528,Q4,1,7,2
2615,Q3,4,0,4
4646,Q4,3,7,3
2937,Q1,2,3,0
5824,Q4,2,7,4
5868,Q4,3,2,0
2990,Q1,4,0,2
4074,Q4,5,0,3
2199,Q2,5,9,0
4603,Q1,2,6,0
2072,Q4,1,0,1
4416,Q3,5,9,3
4030,Q3,2,1,1
3576,Q2,3,4,1
4866,Q3,1,4,3
1158,Q1,5,0,0
1148,Q4,5,5,2
2877,Q3,4,7,3
1433,Q2,4,3,0
2700,Q2,5,3,3
1285,Q1,5,1,2
4779,Q4,3,2,0
3640,Q1,4,4,4
3639,Q1,1,5,2
5419,Q2,3,4,3
5808,Q3,5,1,3
1139,Q4,2,3,4
1163,Q3,4,7,3
4823,Q2,3,0,1
1474,Q2,1,3,4
4018,Q4,4,7,2
1516,Q1,2,8,0
3102,Q3,4,9,4
4970,Q2,2,7,1
1675,Q2,2,9,4
4927,Q4,3,1,3
4605,Q4,1,9,2
3619,Q2,1,1,2
2174,Q4,4,1,2
5775,Q2,4,3,2
2305,Q3,5,2,1
4041,Q3,5,4,4
3583,Q2,2,2,4
4210,Q4,2,3,0
5673,Q1,3,1,2
5093,Q1,2,1,2
3492,Q3,2,8,4
3366,Q2,3,9,2
2382,Q1,5,1,4
4293,Q4,2,9,4
1387,Q1,4,5,1
5101,Q2,1,2,0
5619,Q2,1,8,2
2687,Q1,3,2,2
2934,Q2,2,5,1
3440,Q4,2,5,2
5246,Q3,3,0,1
3415,Q3,5,3,4
4755,Q3,3,4,2
2079,Q3,4,9,0
5377,Q3,5,9,1
3888,Q1,3,7,1
5476,Q3,4,7,4
3942,Q3,4,0,4
4693,Q4,3,6,3
5182,Q3,4,2,3
4555,Q1,5,4,2
2300,Q4,5,5,3
1538,Q2,5,2,3
5920,Q2,5,0,3
1973,Q1,1,3,2
5682,Q4,1,9,4
4839,Q4,3,9,0
1242,Q4,1,3,1
1227,Q4,5,5,0
4019,Q2,4,6,2
5461,Q3,5,0,4
5850,Q3,2,0,2
2971,Q2,3,7,4
3435,Q4,2,5,3
3928,Q1,2,0,4
5932,Q4,5,0,1
5340,Q4,2,8,2
4104,Q4,1,1,4
1187,Q4,4,7,4
1120,Q3,3,6,3
2578,Q1,1,0,2
4949,Q2,3,0,4
4995,Q1,5,6,2
1999,Q1,5,9,0
4126,Q1,5,3,1
3844,Q1,2,9,4
3911,Q1,3,3,0
4287,Q2,3,2,1
5318,Q4,5,4,1
4032,Q4,2,6,4
2606,Q1,5,9,4
2796,Q3,2,1,1
1631,Q3,3,6,0
4855,Q3,3,1,1
4477,Q2,5,8,4
2581,Q1,1,7,4
3720,Q3,2,6,1
5767,Q2,1,7,4
1166,Q1,5,4,4
1382,Q3,3,9,0
5519,Q3,5,4,4
5269,Q4,3,7,0
5535,Q3,5,2,1
4112,Q1,3,8,3
4434,Q4,5,2,3
3181,Q1,4,8,0
3853,Q3,4,4,4
1946,Q3,4,8,3
4608,Q2,5,8,3
1111,Q1,1,8,1
5190,Q3,2,6,2
5201,Q1,5,6,0
4443,Q3,1,4,3
2947,Q4,4,4,1
1283,Q2,1,7,1
1890,Q3,5,2,2
1095,Q3,1,5,2
3193,Q2,5,5,1
1704,Q4,1,8,1
5712,Q2,1,6,1
4173,Q3,2,6,3
3970,Q3,4,1,1
4910,Q2,4,8,2
1304,Q4,4,4,4
5654,Q2,4,5,1
5713,Q3,1,3,3
2424,Q3,5,7,2
1233,Q4,2,0,0
3135,Q4,1,5,0
5190,Q4,4,0,3
2609,Q1,3,3,0
3959,Q3,5,2,2
3491,Q2,4,3,3
1890,Q4,3,9,4
3671,Q1,5,0,0
2132,Q1,3,3,0
5700,Q3,5,6,2
1244,Q4,4,4,3
4867,Q4,1,5,3
1985,Q2,1,7,4
1213,Q4,4,7,2
5013,Q4,5,0,0
3070,Q1,1,9,2
1557,Q1,5,9,2
2682,Q3,4,1,1
2176,Q1,3,7,1
4791,Q2,1,4,3
3366,Q2,4,3,1
3326,Q1,1,6,1
3993,Q1,3,4,3
3189,Q4,4,6,3
5742,Q3,4,1,2
4260,Q1,5,9,4
4345,Q3,2,1,4
2034,Q1,1,6,2
5090,Q1,3,8,1
3231,Q4,1,9,0
2808,Q4,2,9,0
2925,Q1,3,9,0
3710,Q4,3,9,2
1203,Q3,1,2,0
1292,Q1,3,6,3
3059,Q3,1,0,2
5297,Q4,4,4,2
5274,Q1,5,2,3
2509,Q3,2,8,1
4518,Q2,4,5,1
1632,Q4,2,9,0
2369,Q3,5,8,2
1114,Q3,2,1,4
3303,Q2,1,7,1
2602,Q4,3,0,1
4518,Q3,1,3,2
3059,Q4,1,5,4
3798,Q4,3,8,0
3637,Q2,3,5,4
1760,Q4,3,5,1
2980,Q4,2,3,2
2384,Q2,1,1,3
3461,Q2,2,4,0
1086,Q1,5,5,4
1075,Q2,1,2,3
5925,Q1,2,9,1
1146,Q4,5,3,2
4205,Q1,2,9,4
5840,Q4,2,9,0
3028,Q2,3,6,4
5448,Q2,3,8,3
2945,Q3,5,1,1
3334,Q2,3,5,2
2862,Q4,1,8,1
2621,Q3,4,9,0
5715,Q4,3,8,4
5883,Q2,1,4,3
5998,Q4,5,0,2
1944,Q2,1,1,2
4499,Q3,1,2,1
1601,Q4,5,5,1
2934,Q4,1,3,2
1767,Q2,5,6,3
4321,Q4,3,8,2
3818,Q2,1,2,4
2773,Q1,2,6,3
3661,Q2,4,3,2
4361,Q3,1,7,2
1694,Q3,5,1,0
1511,Q2,3,8,4
3349,Q2,3,5,2
4516,Q2,5,1,4
3533,Q2,3,8,1
5751,Q4,1,7,4
4404,Q4,3,1,4
3852,Q1,5,6,1
4282,Q3,5,4,3
5839,Q1,5,1,3
5992,Q4,1,8,1
1046,Q3,2,8,0
3379,Q2,4,4,2
3610,Q4,2,3,0
2752,Q4,4,4,4
4202,Q4,4,6,0
1763,Q3,1,6,3
1333,Q4,2,9,4
1506,Q3,4,7,4
4586,Q2,1,4,1
3442,Q3,3,0,3
5890,Q1,2,5,0
3243,Q1,5,2,2
4789,Q3,1,9,0
1545,Q2,3,9,1
5212,Q2,5,8,2
1153,Q1,1,8,4
1508,Q4,4,0,1
3601,Q3,1,5,3
2937,Q2,1,3,4
1815,Q1,2,9,2
1320,Q3,4,4,3
3762,Q3,4,5,2
3747,Q4,2,7,4
4661,Q2,5,6,1
5235,Q1,2,5,2
3280,Q1,5,3,4
4347,Q2,2,1,3
2085,Q4,2,1,3
5553,Q3,4,7,4
1406,Q2,5,3,0
2346,Q2,3,7,3
5871,Q1,3,6,4
3754,Q4,5,5,4
2834,Q1,4,3,4
3764,Q3,3,5,2
5880,Q3,1,7,2
3565,Q2,5,9,4
3490,Q4,2,9,2
3193,Q2,2,2,0
1073,Q2,1,8,2
5550,Q3,2,8,0
3614,Q2,2,7,1
5036,Q1,1,5,4
3185,Q4,4,2,4
4539,Q4,1,1,0
4524,Q2,2,8,1
2912,Q3,3,4,0
4488,Q3,5,8,4
1803,Q1,2,3,2
5111,Q4,5,5,1
2490,Q3,3,9,3
4133,Q1,5,0,2
4041,Q2,4,3,0
2765,Q4,2,6,2
2303,Q2,5,7,0
4178,Q1,4,2,0
3331,Q4,3,4,1
5726,Q1,1,5,0
2512,Q3,4,5,4
3953,Q4,2,9,4
2496,Q2,2,5,4
4171,Q3,3,4,1
2603,Q2,4,7,2
4809,Q3,4,4,0
1808,Q4,4,2,3
2150,Q2,2,7,2
4276,Q3,5,4,3
1727,Q2,1,5,3
3003,Q1,3,7,1
5484,Q1,4,3,0
3248,Q1,3,7,3
3436,Q3,1,1,2
1855,Q2,3,7,0
4444,Q2,5,0,2
1735,Q2,5,8,4
5316,Q3,4,0,0
4248,Q2,4,5,4
5955,Q1,4,0,2
2144,Q4,3,3,1
2928,Q2,3,4,3
5730,Q2,4,8,4
5157,Q1,2,5,3
4912,Q2,1,7,4
1494,Q3,5,7,3
1753,Q1,1,1,1
1123,Q1,4,8,3
5603,Q1,4,4,4
5855,Q3,5,8,3
3896,Q1,3,1,4
2589,Q2,5,1,4
5168,Q3,5,1,2
2409,Q1,1,4,1
1568,Q1,2,4,1
1581,Q4,2,5,4
4003,Q2,5,6,3
3492,Q1,4,3,4
3633,Q2,5,0,3
3673,Q2,5,4,0
1847,Q1,2,4,0
3644,Q2,4,6,1
4931,Q4,4,1,2
4482,Q1,2,4,1
3481,Q1,1,1,2
4777,Q4,5,4,0
2821,Q1,1,8,2
1839,Q2,4,0,2
2856,Q1,3,9,1
4437,Q3,1,1,1
1857,Q4,2,3,1
1036,Q3,3,7,0
1254,Q2,1,4,1
3827,Q4,1,3,2
2512,Q2,3,8,1
5862,Q3,4,0,4
5731,Q1,1,5,2
3529,Q3,1,9,4
3946,Q4,2,3,1
2297,Q1,4,5,4
4834,Q3,2,4,0
3797,Q3,1,5,4
4399,Q3,2,1,2
2843,Q2,1,6,3
2655,Q3,1,2,2
2567,Q3,4,5,1
5859,Q1,3,9,2
2584,Q3,5,1,0
5618,Q4,3,3,2
4212,Q2,5,1,1
1490,Q2,5,4,4
4245,Q3,4,8,2
4171,Q4,3,1,3
1328,Q1,1,1,1
2262,Q4,5,6,0
2024,Q2,1,3,3
5585,Q1,5,8,4
1670,Q3,4,7,2
4029,Q3,4,2,1
5598,Q3,1,1,3
3876,Q4,2,6,1
5617,Q3,1,0,0
4784,Q2,5,2,1
1341,Q2,1,2,0
3599,Q2,1,4,0
2217,Q2,3,9,3
2928,Q3,5,9,0
2257,Q4,5,0,4
4519,Q3,2,7,4
1552,Q3,5,6,3
4981,Q3,2,1,4
3848,Q2,3,0,0
1726,Q2,1,3,3
2982,Q1,4,3,1
3771,Q2,4,0,4
3504,Q2,5,0,3
4218,Q2,3,7,3
5181,Q4,5,1,0
5280,Q1,3,7,1
1262,Q4,4,1,1
4166,Q3,1,0,0
1831,Q3,2,7,3
4167,Q4,1,2,3
2141,Q4,3,1,2
3294,Q4,1,8,0
1527,Q3,2,5,1
5726,Q4,3,3,0
2054,Q1,5,0,3
5362,Q2,3,6,3
3472,Q3,3,8,4
1388,Q4,1,9,4
2413,Q2,3,3,0
3256,Q1,1,7,4
5820,Q2,1,6,1
5331,Q4,1,2,1
3193,Q2,2,6,2
3497,Q3,5,3,4
3746,Q3,2,2,2
5473,Q4,5,8,3
4572,Q2,4,4,3
3247,Q1,3,1,3
1021,Q2,2,0,2
5377,Q4,1,1,1
3083,Q1,2,6,2
2127,Q1,4,1,4
5649,Q1,4,9,3
1666,Q4,2,3,1
4280,Q1,2,2,0
5866,Q2,2,1,4
3628,Q1,1,2,0
5740,Q2,3,6,1
5747,Q2,5,0,3
1353,Q2,1,3,3
2671,Q1,5,7,2
4184,Q4,3,5,1
4226,Q2,3,5,4
1431,Q4,5,4,0
5107,Q4,2,9,4
5192,Q2,5,5,2
5378,Q2,3,2,1
5812,Q1,3,8,0
1198,Q2,4,3,4
1500,Q4,1,5,2
2503,Q4,4,1,1
1339,Q4,5,6,4
2652,Q2,5,5,0
4815,Q2,3,6,2
5806,Q4,4,3,0
3037,Q3,5,1,3
4561,Q3,3,5,4
2727,Q4,5,4,4
4071,Q1,5,4,2
1781,Q2,4,8,2
2949,Q1,1,3,1
4998,Q2,5,3,4
4216,Q1,2,3,2
3869,Q4,5,3,1
4642,Q4,3,6,1
5007,Q4,4,7,0
4802,Q1,5,5,1
1838,Q3,1,8,4
4077,Q4,3,3,3
3618,Q2,2,8,3
5739,Q4,4,6,4
4484,Q4,3,3,1
5000,Q1,4,5,4
5387,Q2,4,1,2
5395,Q4,2,7,0
4672,Q3,5,8,2
4877,Q4,5,5,1
4621,Q2,1,3,3
4591,Q4,2,4,2
2872,Q4,5,9,0
2287,Q1,4,0,1
1515,Q2,4,7,3
2971,Q3,3,9,3
2762,Q3,5,1,3
4081,Q4,3,1,3
1557,Q1,4,5,3
5017,Q4,1,2,2
2656,Q3,1,4,3
3160,Q4,1,8,0
2306,Q3,1,1,2
4162,Q1,4,8,4
5054,Q3,5,0,2
5699,Q1,2,7,2
4666,Q1,3,7,0
3336,Q2,3,8,4
3732,Q4,2,2,3
1999,Q2,2,1,4
3080,Q2,1,2,3
2905,Q1,2,3,1
3452,Q4,1,7,3
2880,Q1,2,4,0
3367,Q2,3,5,0
4512,Q1,5,1,3
4769,Q2,3,7,2
5862,Q2,4,7,4
1822,Q3,3,2,3
4335,Q1,4,0,1
2401,Q2,1,5,1
5927,Q2,5,6,3
2426,Q3,3,0,0
2378,Q2,5,4,3
3402,Q1,4,6,1
4705,Q3,3,0,3
3373,Q4,5,1,3
1959,Q2,2,2,4
4945,Q1,1,7,3
2653,Q2,4,1,0
5949,Q3,2,6,0
5685,Q1,1,6,2
2076,Q4,2,4,3
5944,Q4,2,4,1
5536,Q1,1,3,3
4120,Q4,2,8,2
1043,Q3,4,5,0
4869,Q3,2,4,0
3277,Q4,2,2,2
1573,Q3,2,2,4
1368,Q3,5,8,0
4940,Q3,3,4,4
1807,Q1,3,6,3
2323,Q3,4,3,1
4904,Q4,2,5,0
1016,Q3,4,9,4
3559,Q4,5,2,1
2994,Q3,1,2,1
1974,Q4,3,5,3
5216,Q4,1,6,3
1524,Q1,1,4,2
4730,Q4,3,6,4
5994,Q3,1,3,4
3470,Q2,2,3,2
2603,Q2,3,6,3
5489,Q1,2,8,4
5124,Q2,3,3,1
1763,Q3,2,0,0
5541,Q4,2,2,2
1322,Q2,4,8,4
5718,Q1,5,7,3
5466,Q3,4,9,3
3739,Q4,1,9,2
5733,Q2,4,7,0
2687,Q4,3,6,1
2321,Q4,3,9,0
1128,Q4,4,3,0
4352,Q1,5,5,3
2886,Q1,4,9,3
5898,Q4,5,3,1
3085,Q2,1,9,2
3638,Q2,2,3,4
5552,Q1,5,9,0
3633,Q2,5,8,2
3368,Q2,1,4,0
3014,Q2,2,2,1
4588,Q4,5,2,1
1574,Q3,1,2,3
2497,Q1,4,4,3
5169,Q4,2,1,1
3469,Q2,5,6,4
1718,Q2,1,8,0
2384,Q2,5,8,4
5283,Q1,5,0,2
1180,Q2,5,9,0
4340,Q4,3,6,4
1815,Q2,3,3,2
2235,Q3,3,6,2
2035,Q2,5,0,4
5679,Q4,2,0,4
3652,Q4,3,1,4
2986,Q2,2,2,2
1141,Q4,1,3,1
1381,Q3,5,7,3
5792,Q4,5,4,3
3516,Q4,3,7,1
4284,Q3,2,7,2
3893,Q1,3,6,0
2520,Q1,5,6,0
2877,Q4,3,6,2
3115,Q4,5,9,3
1326,Q4,1,9,0
2773,Q4,3,5,4
1695,Q1,1,6,0
4249,Q4,1,9,0
2231,Q3,1,6,4
4973,Q1,3,1,4
2442,Q2,1,7,1
3450,Q4,1,3,3
2987,Q4,4,5,3
5255,Q3,4,4,1
2655,Q4,1,7,4
5503,Q4,4,8,2
4258,Q4,5,8,0
5828,Q2,5,8,0
5699,Q1,5,0,0
4629,Q1,5,8,1
2774,Q1,2,5,1
2436,Q2,2,3,3
2477,Q3,1,0,3
1061,Q3,3,5,2
4207,Q1,2,4,2
2600,Q3,4,0,1
5736,Q1,1,1,4
2239,Q4,1,6,1
3434,Q1,4,2,1
2796,Q2,2,7,1
4654,Q1,3,4,2
5111,Q2,5,4,0
3764,Q2,1,3,2
4110,Q1,3,6,2
1149,Q4,3,3,3
2409,Q1,4,7,0
3981,Q3,2,5,4
4389,Q1,2,4,1
4777,Q4,4,5,2
4776,Q3,2,0,0
5054,Q3,5,3,1
2834,Q4,3,3,0
3488,Q4,2,5,3
5706,Q3,3,7,3
3048,Q3,4,4,0
5138,Q1,3,3,1
1228,Q4,1,3,4
5000,Q1,2,1,4
3531,Q1,4,4,1
5556,Q2,4,0,0
1540,Q1,5,9,0
1765,Q4,1,2,4
3171,Q1,2,4,3
2930,Q3,4,5,4
5828,Q4,4,5,4
1873,Q2,2,5,4
3845,Q1,3,5,2
3841,Q4,1,1,1
2440,Q4,5,6,2
5012,Q3,4,3,0
2426,Q2,3,7,4
4261,Q4,3,0,2
1440,Q1,3,0,4
1095,Q3,3,9,3
3824,Q3,1,2,0
1341,Q4,1,2,4
1241,Q3,5,4,1
4943,Q3,3,3,3
1867,Q4,3,5,1
5445,Q2,2,6,0
3724,Q3,4,7,2
4375,Q3,3,6,4
3269,Q3,5,7,1
4363,Q3,1,7,1
3244,Q2,3,9,3
5124,Q1,1,0,2
4559,Q4,1,5,4
5403,Q1,4,3,4
3195,Q3,3,8,1
2176,Q4,2,6,0
1074,Q1,1,6,3
1767,Q4,1,7,3
1998,Q2,4,8,0
3854,Q2,4,8,4
4693,Q4,2,6,4
3682,Q1,1,2,0
5534,Q4,1,4,0
3936,Q3,3,6,1
4634,Q4,4,0,0
2720,Q3,5,1,3
1892,Q1,3,4,0
5964,Q2,5,7,0
4611,Q3,2,1,1
1762,Q3,1,3,4
5022,Q1,3,8,0
5923,Q4,1,8,2
4025,Q4,5,7,4
4945,Q3,1,6,4
2594,Q2,4,2,3
2034,Q3,4,7,0
5886,Q1,3,9,3
4695,Q3,1,0,4
4771,Q4,5,0,4
3819,Q3,4,9,2
2629,Q3,4,3,1
3986,Q4,3,0,1
1351,Q2,1,5,2
5934,Q1,1,7,0
1075,Q3,3,7,0
3008,Q4,2,9,1
4433,Q2,1,7,0
3444,Q1,3,3,3
1308,Q4,3,1,1
5901,Q1,1,8,1
5691,Q4,5,5,0
4429,Q1,2,2,0
3190,Q1,3,4,1
1540,Q4,3,4,3
4684,Q1,3,6,1
4604,Q3,2,0,2
1670,Q2,2,2,3
4657,Q1,3,9,3
5029,Q1,4,7,1
5966,Q4,1,6,2
1151,Q4,5,0,1
4113,Q4,2,8,4
3168,Q1,4,5,2
2343,Q2,3,4,0
5490,Q1,5,0,1
1479,Q4,4,0,3
1667,Q1,3,0,1
4862,Q3,4,3,1
3268,Q1,3,6,2
1514,Q4,1,2,2
3952,Q2,4,3,1
3486,Q3,2,5,2
1172,Q3,1,2,3
1461,Q3,5,6,0
3405,Q3,2,1,2
3912,Q3,2,3,0
5909,Q2,5,4,2
5868,Q4,4,4,0
4830,Q2,3,7,4
4670,Q3,4,1,2
3229,Q3,4,0,3
5675,Q3,3,2,0
3942,Q1,5,5,1
2402,Q2,1,5,4
2657,Q2,5,4,4
4434,Q3,3,0,0
5182,Q1,2,5,2
2128,Q1,4,9,0
2952,Q4,4,3,3
2555,Q2,1,3,2
1786,Q3,5,3,4
1811,Q2,4,2,1
5730,Q2,5,8,1
3193,Q2,4,1,2
1416,Q2,5,0,3
2638,Q1,1,4,3
4920,Q3,5,8,1
2908,Q1,2,0,0
4899,Q1,3,5,4
2584,Q3,5,2,2
1168,Q4,2,9,1
1617,Q4,2,5,2
2550,Q4,3,7,3
1224,Q2,4,6,4
2788,Q3,4,4,4
5324,Q4,5,8,0
1388,Q3,1,8,1
3863,Q4,4,8,3
3416,Q4,2,4,2
3945,Q4,4,2,0
3950,Q4,5,5,3
2317,Q4,3,7,2
5225,Q2,5,5,0
2934,Q4,4,3,2
4781,Q3,5,3,4
3096,Q1,3,3,0
2447,Q2,4,8,4
5460,Q3,3,4,0
